time,x_pos,z_pos,yaw_deg,long_vel,lat_vel,yaw_rate,steering,throttle,brake,ax,ay,dist_center,head_diff,track_width,curvature,yr1,yr2,yr3,yr4,yr5,yr6,yr7,yr8,yr9,yr10,yr11,yr12,yr13,yr14,br1,br2,br3,br4,br5,br6,br7,br8,br9,br10,br11,br12,br13,br14
1739888204.3305972,84.86628372100134,45.64103523636288,-56.6378,12.27537,-0.2617106,36.15572,0.09902222222222135,0.27770992366412217,-0.0,0.1682220913248663,-0.18689976501688105,-0.11035261869610141,0.11891982689251535,4.937702841344887,-0.015586863114765601,20.0,19.35159228186973,12.266764041470855,6.959682989598479,4.787394345639886,3.7073908440082834,3.1003484566057673,2.7355518298667967,2.5159621476214995,2.3964099478702834,2.3455456060267945,2.3633620281956453,2.4566670997070617,2.641192136196609,20.0,20.0,20.0,20.0,20.0,7.379761722133891,4.780025854061401,3.792663320512655,3.224572383867145,2.8806197203580517,2.6764553241586486,2.5861161494470952,2.601022854543187,2.6985725335453843
1739888204.3508532,85.00215485121815,45.43398333200729,-57.022400000000005,12.27854,-0.2662549,38.46438,0.10542222222222158,0.27770992366412217,-0.0,0.1491692325288972,-0.266957955990301,-0.14010993929377502,0.11220729058934609,4.937702841344887,-0.015586863114765601,20.0,19.22111664211502,12.28313622964884,6.9593244035684325,4.754946535753095,3.674014617023748,3.0649778868295696,2.699507175306934,2.479213208103483,2.3584134785990236,2.314407899352189,2.3292459993824703,2.418226280228751,2.596295318042145,20.0,20.0,20.0,20.0,20.0,7.407379098975156,4.805984178143361,3.813855389387435,3.249669702583333,2.9078620200675864,2.705496835091731,2.603422029897958,2.616387079738428,2.7178504008797484
1739888204.3706188,85.136504469861,45.22571310080922,-57.431700000000006,12.28134,-0.2723947,40.93478,0.11153777777777678,0.27770992366412217,-0.0,0.12988644144604627,-0.35089900364553644,-0.16796291324788518,0.11594840024949704,4.8793183683008845,-0.012687752559256789,20.0,19.102231801674105,12.324822859846483,6.9733471656303445,4.72935258858737,3.645226888980707,3.0329908537108454,2.666199069935033,2.4448216247822647,2.3225473845559064,2.277835592602125,2.297089376928243,2.3817291200838095,2.5533965521249873,20.0,20.0,20.0,20.0,20.0,7.418070446257186,4.855980124008717,3.830355777786631,3.271216287404846,2.932271061017496,2.732192748042007,2.6325539210633466,2.6301027850219922,2.7356837918087344
1739888204.3907342,85.2692878165547,45.016218185214825,-57.86689999999999,12.28372,-0.2802491,43.51199,0.11423999999999902,0.27770992366412217,-0.0,0.11114633964326653,-0.4513313931339355,-0.19386861452855178,0.10835272734481904,4.8793183683008845,-0.012687752559256789,20.0,18.995833364035768,12.39503198900884,7.00330918544592,4.71112053514036,3.621299295712549,3.004551900496494,2.635741578877284,2.41287398662101,2.288881954021448,2.241797040039125,2.264014614020833,2.3472246099822476,2.5125418737228884,20.0,20.0,20.0,20.0,20.0,7.412363755145575,4.896729381400797,3.842140178769822,3.2891777002663614,2.9538136891169646,2.7565151788833218,2.6596763455208348,2.647112101409338,2.7520727086438166
1739888204.410746,85.4004377852975,44.80551608490794,-58.3244,12.2858,-0.2905054,45.75046,0.11523555555555479,0.27770992366412217,-0.0,0.09915847888324252,-0.5613192073085846,-0.21887765539440365,0.10036784601694393,4.8793183683008845,-0.012687752559256789,20.0,18.90075015659178,12.493959666961182,7.0493324699096735,4.7001270129473705,3.6021602050911916,2.979627520595037,2.6081316428411503,2.383391774222554,2.2574606437458407,2.207888152048185,2.226647859217706,2.3148277173096066,2.4738887845127713,20.0,20.0,20.0,20.0,20.0,7.392676109820865,4.929026899868264,3.849522344523263,3.3037197917763703,2.972574960427104,2.7784984030457225,2.6847871342790137,2.67584229368496,2.7669342414165845
1739888204.430872,85.52995818502436,44.59363844331283,-58.800399999999996,12.2877,-0.3027792,47.59982,0.11623111111111055,0.27770992366412217,-0.0,0.08917479285441483,-0.6367354210566321,-0.24466214690774168,0.09206007877745037,4.8793183683008845,-0.012687752559256789,20.0,18.81559394539952,12.621543705595556,7.110536361485616,4.696092696800804,3.5868642586668864,2.9580866140303383,2.5832809977672166,2.3563182357729087,2.228252037012659,2.1761004100276287,2.191395845952066,2.2765698886475056,2.437507364104366,20.0,20.0,20.0,20.0,20.0,7.4415427802242,4.95384574045941,3.8529266929328965,3.315102805302297,2.9887226103965303,2.7982512004661384,2.707953029519092,2.7028581219731147,2.782158065540238
1739888204.450892,85.65781388071703,44.38060653997283,-59.29159999999999,12.28938,-0.3160677,49.12113,0.11722666666666631,0.27770992366412217,-0.0,0.07896793677823573,-0.6771626323855652,-0.26844730636219083,0.09838423407490993,4.849120476629642,-0.014919989743363662,20.0,18.73923368523541,12.77837518952768,7.151175488304748,4.6989070302772085,3.5704844769492334,2.939879289340223,2.5611648048344247,2.3316484199124945,2.201268249542,2.1464624095196183,2.158305249028692,2.238677973860356,2.4010445453995994,20.0,20.0,20.0,20.0,20.0,7.483305546112782,4.971974861282725,3.8527899854561394,3.3235124290928657,3.002364687075332,2.8158312841893087,2.729194809230007,2.7281495376157836,2.812529638937506
1739888204.470635,85.78395442755539,44.1664427875356,-59.79570000000001,12.29084,-0.3297052,50.40897,0.11864888888888901,0.27770992366412217,-0.0,0.06728183122454563,-0.6814943925789737,-0.29019723543504294,0.08958602931560655,4.849120476629642,-0.014919989743363662,20.0,18.671001573479803,12.966111585626548,7.205021306159365,4.70865719380025,3.558403939035796,2.925026279017251,2.5418057351543664,2.3094100353764837,2.1765432218799363,2.1190155504284562,2.1274268498679727,2.2031124227073633,2.358693255796043,20.0,20.0,20.0,20.0,20.0,7.507858249093237,4.983996799906961,3.8806499269036663,3.3290722081733826,3.0135666573561934,2.8312661765107205,2.7485118671107123,2.7516921788872932,2.841311687480615
1739888204.4905758,85.90832747716803,43.95114670761137,-60.311200000000014,12.29205,-0.343112,51.5549,0.11921777777777784,0.27770992366412217,-0.0,0.05466793886589079,-0.6631795122601535,-0.31066524622028413,0.08058885702157603,4.849120476629642,-0.014919989743363662,20.0,18.61058721287349,13.187482006964002,7.2728355736548345,4.72560457066517,3.5507343524566117,2.913607994073063,2.5252663510875357,2.2896582565052115,2.1541294758153535,2.093812571011823,2.0988159383463563,2.1699335365475627,2.3189718203080982,20.0,20.0,20.0,20.0,20.0,7.5175274197548,4.990333602990703,3.9041745527732266,3.3318556991786834,3.0223594443981816,2.8445587100867145,2.765885959716167,2.7734497568456176,2.868450449858852
1739888204.510695,86.0308960699156,43.73474565147057,-60.83609999999999,12.29303,-0.3562722,52.48874,0.12021333333333233,0.27770992366412217,-0.0,0.0437213757281769,-0.6419497171775418,-0.3317430543653622,0.07142762377785772,4.849120476629642,-0.014919989743363662,20.0,18.557409595789206,13.24548285298934,7.355220201297565,4.749901271817968,3.5475149107193373,2.901248140567013,2.5115669438741537,2.27241312688117,2.1340489343839413,2.0708785104480336,2.0725018744829127,2.1391765752111533,2.28192370741427,20.0,20.0,20.0,20.0,20.0,7.5147225012376895,4.991508305277124,3.9236310650786135,3.331983943703047,3.0288118229208116,2.8557424747248334,2.7813239527702507,2.7934061011350253,2.893907220855797
